0	영
4절	사절
4절과	사절과
4조원의	사조원의
4차	사차
4천	사천
4천3백만	사천삼백만
4천만원	사천만원
4천억원	사천억원
4천억이	사천억이
4천원	사천원
4천원만	사천원만
4천원을	사천원을
4층짜리	사층짜리
4학년	사학년
4학년의	사학년의
4호를	사호를
5·16	오일육
5·16을	오일육을
5·16쿠데타	오일육쿠데타
5·18	오일팔
5·18과	오일팔과
5·18사태는	오일팔사태는
5·24	오이사
5000개	오천개
5000원	오천원
500년이	오백년이
500만원	오백만원
500만원이면	오백만원이면
500만원짜리	오백만원짜리
500만이	오백만이
500여	오백여
500원	오백원
500원을	오백원을
500원짜리	오백원짜리
503번	오백삼번
50km가	오십킬로미터가
50m	오십미터
50년	오십년
50년도	오십년도
50년은	오십년은
50년을	오십년을
50년의	오십년의
50년이	오십년이
50년쯤	오십년쯤
50달러	오십달러
50대	쉰대
50도를	오십도를
50로	오십로
50만	오십만
50만명	오십만명
50만원에서	오십만원에서
50명분	쉰명분
50시간째	쉰시간째
50억원	오십억원
50여	오십여
50였다는	오십였다는
50원짜리	오십원짜리
50일	오십일
50일밖에	오십일밖에
50입니다	오십입니다
50조	오십조
50주년이	오십주년이
50주년이었고	오십주년이었고
510일이란	오백십일이란
516쿠데타로	오백십육쿠데타로
518번	오백십팔번
518을	오백십팔을
51명에	쉰한명에
52년에	오십이년에
52세의	오십이세의
52시간	쉰두시간
5300원짜리	오천삼백원짜리
539436명	오십삼만구천사백삼십육명
53년	오십삼년
53명이	쉰세명이
53세	오십삼세
54년	오십사년
54명	쉰네명
54세	오십사세
5500만원	오천오백만원
550원짜리	오백오십원짜리
555m	오백오십오미터
55자	오십오자
56년전	오십육년전
56만명	오십육만명
56억	오십육억
56조	오십육조
56회	오십육회
570번을	오백칠십번을
5770개의	오천칠백칠십개의
5772건	오천칠백칠십이건
57억	오십칠억
58년	오십팔년
58세	오십팔세
59km	오십구킬로미터
59명	쉰아홉명
59에	오십구에
59점이었습니다	오십구점이었습니다
5kg	오킬로그램
5㎜	오밀리미터
5개	다섯개
5곳	다섯곳
5공	오공
5그램	오그램
5그램에	오그램에
5급	오급
5년	오년
5년간	오년간
5단계	오단계
5달	다섯달
5대	다섯대
5대가	다섯대가
5대양	다섯대양
5만	오만
5만원	오만원
5만원권과	오만원권과
5만원권을	오만원권을
5만원권이	오만원권이
5만원짜리는	오만원짜리는
5명	다섯명
5명에	다섯명에
5명의	다섯명의
5명이	다섯명이
5백	오백
5분	오분
5분의	오분의
5세만큼은	오세만큼은
5세야말로	오세야말로
5세의	오세의
5월	오월
5월부터	오월부터
5월에	오월에
5월은	오월은
5월을	오월을
5월의	오월의
5월이	오월이
5월이었습니다	오월이었습니다
5의	오의
5일	오일
5일에	오일에
5전	오전
5조	오조
5주기가	오주기가
5중	오중
5천	오천
5천만원	오천만원
5천만의	오천만의
5천명	오천명
5천명의	오천명의
5천억원으로	오천억원으로
5천원	오천원
5천원에	오천원에
5층짜리	오층짜리
5학년	오학년
5행시	오행시
5행시니	오행시니
6·3	육삼
6·3은	육삼은
6·3항쟁에	육삼항쟁에
6000만	육천만
6000여	육천여
6000원	육천원
6000원입니다	육천원입니다
600만	육백만
600명이	육백명이
600번	육백번
600여년	육백여년
6030원	육천삼십원
6030원으로	육천삼십원으로
6030원짜리	육천삼십원짜리
6070년대의	육천칠십년대의
60가	육십가
60년	육십년
60년대	육십년대
60년을	육십년을
60년이	육십년이
60대	예순대
60를	육십를
60만	육십만
60여	육십여
60여개	육십여개
60조원에	육십조원에
61만원의	육십일만원의
624명	육백이십사명
625년	육백이십오년
63가	육십삼가
63만	육십삼만
63일	육십삼일
6400명	육천사백명
6411번	육천사백십일번
645조	육백사십오조
6500원	육천오백원
65㎡	육십오미터제곱
65년	육십오년
65세	육십오세
65세가	육십오세가
65세와	육십오세와
663대	육백육십삼대
66가	육십육가
66개의	예순여섯개의
66년	육십육년
672곳	육백칠십이곳
6756표에	육천칠백오십육표에
67가지의	예순일곱가지의
68년	육십팔년
69년	육십구년
6개	여섯개
6개월	육개월
6개월간의	육개월간의
6개월인	육개월인
6개월째가	육개월째가
6곡	육곡
6년	육년
6년이	육년이
6대주를	여섯대주를
6만	육만
6만명	육만명
6명으로	여섯명으로
6명의	여섯명의
6명이	여섯명이
6명중	여섯명중
6발의	여섯발의
6백에서	육백에서
6분	육분
6분의	육분의
6분이	육분이
6세기	육세기
6시	여섯시
6억	육억
6월에	육월에
6월형을	육월형을
6인실을	육인실을
6일	육일
6조7000억원	육조칠천억원
6주일	육주일
6천6백만	육천육백만
6천만	육천만
6천억	육천억
6천여	육천여
6층	육층
6캔에	여섯캔에
6행시	육행시
7·15	칠일오
7·4	칠사
7000년부터라고	칠천년부터라고
7000만	칠천만
7000명이	칠천명이
7000억	칠천억
7000억원이	칠천억원이
7000여	칠천여
7000원	칠천원
7000원의	칠천원의
700m	칠백미터
700인	칠백인
70km	칠십킬로미터
70m	칠십미터
70가	칠십가
70년	칠십년
70년대	칠십년대
70년대는	칠십년대는
70년대를	칠십년대를
70년대의	칠십년대의
70년을	칠십년을
70년이	칠십년이
70대	일흔대
70만원	칠십만원
70명	일흔명
70명을	일흔명을
70세가	칠십세가
70억	칠십억
70위	칠십위
70일	칠십일
70일간	칠십일간
70주년	칠십주년
70주년을	칠십주년을
716건에	칠백십육건에
71년의	칠십일년의
725해석은	칠백이십오해석은
728번이라고	칠백이십팔번이라고
72년이	칠십이년이
72시간은	일흔두시간은
72시간이	일흔두시간이
72시간이라고	일흔두시간이라고
72자	칠십이자
72자가	칠십이자가
72자로	칠십이자로
72주년	칠십이주년
73년	칠십삼년
73년이	칠십삼년이
74년	칠십사년
7530원	칠천오백삼십원
7530원은	칠천오백삼십원은
757조	칠백오십칠조
75가	칠십오가
75년	칠십오년
75억	칠십오억
76년에는	칠십육년에는
76명의	일흔여섯명의
76명이나	일흔여섯명이나
76의	칠십육의
77만	칠십칠만
780년대	칠백팔십년대
78년이	칠십팔년이
79입니다	칠십구입니다
7개월을	칠개월을
7개월의	칠개월의
7남	칠남
7년	칠년
7대그룹	일곱대그룹
7명	일곱명
7명이	일곱명이
7배가량	일곱배가량
7세기	칠세기
7시	일곱시
7시가	일곱시가
7시간	일곱시간
7시간뿐만이	일곱시간뿐만이
7시간에	일곱시간에
7시간으로	일곱시간으로
7시간을	일곱시간을
7시간이	일곱시간이
7억까지	칠억까지
7월	칠월
7월에	칠월에
7의	칠의
7인회의	칠인회의
7일	칠일
7일부터	칠일부터
7장에는	칠장에는
7절	칠절
7처럼	칠처럼
7천개	칠천개
7천만명이	칠천만명이
8000개	팔천개
8000억	팔천억
8000원이	팔천원이
800억원	팔백억원
800억원에	팔백억원에
800여	팔백여
800일도	팔백일도
800점	팔백점
80m	팔십미터
80년	팔십년
80년대를	팔십년대를
80년대만	팔십년대만
80년대에도	팔십년대에도
80년대의	팔십년대의
80년도	팔십년도
80년의	팔십년의
80대	여든대
80만	팔십만
80배나	여든배나
80억	팔십억
80에	팔십에
80여	팔십여
80일도	팔십일도
82년	팔십이년
830조	팔백삼십조
83조	팔십삼조
8400만원	팔천사백만원
849명	팔백사십구명
84명에게	여든네명에게
850만	팔백오십만
86m에	팔십육미터에
86년	팔십육년
870명가량의	팔백칠십명가량의
874km	팔백칠십사킬로미터
87년	팔십칠년
87년부터	팔십칠년부터
88년	팔십팔년
88만원	팔십팔만원
88올림픽을	팔팔올림픽을
8가량	팔가량
8가지였습니다	여덟가지였습니다
8강	팔강
8강에	팔강에
8개가	여덟개가
8개월	팔개월
8개월간	팔개월간
8개월을	팔개월을
8개의	여덟개의
8그루	여덟그루
8년의	팔년의
8년이	팔년이
8년이란	팔년이란
8달	여덟달
8만명에	팔만명에
8명은	여덟명은
8명의	여덟명의
8명이나	여덟명이나
8백	팔백
8분	팔분
8분이라는	팔분이라는
8살이었으니	여덟살이었으니
8시	여덟시
8시간	여덟시간
8월	팔월
8월도	팔월도
8월에는	팔월에는
8월은	팔월은
8월의	팔월의
8일	팔일
8장	팔장
8점	팔점
8점은	팔점은
8점짜리	팔점짜리
8조	팔조
8조원은	팔조원은
8조원을	팔조원을
8주기를	팔주기를
8천억	팔천억
8천억원을	팔천억원을
8천여	팔천여
8학군의	팔학군의
9000억	구천억
900만	구백만
900여	구백여
90가	구십가
90년	구십년
90년대	구십년대
90년대를	구십년대를
90년대부터	구십년대부터
90년대부터는	구십년대부터는
90년대의	구십년대의
90년생이	구십년생이
90분	구십분
90살	아흔살
90에	구십에
90주년을	구십주년을
90퍼센트를	구십퍼센트를
91명에게	아흔한명에게
92년	구십이년
92년에	구십이년에
92번	아흔두번
92억	구십이억
93평	구십삼평
945명이었던	구백사십오명이었던
94년	구십사년
94년부터	구십사년부터
956개입니다	구백오십육개입니다
95년	구십오년
95는	구십오는
95라는	구십오라는
95를	구십오를
97년	구십칠년
9809개의	구천팔백구개의
98년이	구십팔년이
98주년이	구십팔주년이
99가	구십구가
99년	구십구년
99의	구십구의
9m	구미터
9개	아홉개
9개월	구개월
9급	구급
9년	구년
9년간의	구년간의
9단과	구단과
9단들	구단들
9단에게	구단에게
9단은	구단은
9단을	구단을
9단이	구단이
9만	구만
9명	아홉명
9명의	아홉명의
9명이	아홉명이
9박10일	구박십일
9살	아홉살
9시	아홉시
9시까지	아홉시까지
9시를	아홉시를
9시에	아홉시에
9억	구억
9월	구월
9월과	구월과
9월에	구월에
9월에는	구월에는
9월은	구월은
9월을	구월을
9월의	구월의
9인치짜리	구인치짜리
9일	구일
9일은	구일은
9조	구조
9천	구천
9천만부가	구천만부가
9천명이	구천명이
9천억	구천억
A4용지	에이포용지
ability라는	어빌리티라는
AGAIN	어게인
Air	에어
AI가	에이아이가
AI는	에이아이는
AI도	에이아이도
AI와	에이아이와
AI포비아	에이아이포비아
AK면세점	에이케이면세점
all을	올을
America라는	아메리카라는
ANGER가	앵거가
AP통신	에이피통신
A급	에이급
B29기	비이십구기
BBC	비비시
BBC가	비비시가
BBC는	비비시는
BBC도	비비시도
BBC를	비비시를
BBC의	비비시의
BBK	비비케이
BBK였습니다	비비케이였습니다
BBK와	비비케이와
BLUE	블루
BMW는	비엠더블유는
BMW입니다	비엠더블유입니다
B급	비급
CCTV	씨씨티비
CCTV를	씨씨티비를
CCTV에	씨씨티비에
CEO가	씨이오가
CEO는	씨이오는
CIA	시아이에이
CIPA	시파
CIPA의	시파의
CJ가	씨제이가
Corruption	코럽션
C자	씨자
C자형으로	씨자형으로
DANGER가	댄져가
DDT	디디티
DDT를	디디티를
DDT에	디디티에
Denial은	디나이얼은
Diamonds존	다이아몬드존
disagree	디스어그뤼
DJ	디제이
DJ가	디제이가
DJ는	디제이는
DJ로부터	디제이로부터
DJ를	디제이를
DJ정부의	디제이정부의
DNA	디엔에이
DNA는	디엔에이는
DNA에	디엔에이에
DOC의	디오씨의
est	이에스티
francisco라고	프랜시스코라고
FTA	에프티에이
FTA가	에프티에이가
FTA는	에프티에이는
G2	지투
G2가	지투가
Garbage와	가비지와
GDP	지디피
GDP가	지디피가
GOP	지오피
GP	쥐피
Green화위장폐업을	그린화위장폐업을
HOLY	홀리
humble	험블
IBM	아이비엠
IMF	아이엠에프
IMF가	아이엠에프가
IQ	아이큐
IQ로	아이큐로
IS	아이에스
Islands	아일랜드
IS도	아이에스도
IS를	아이에스를
IS에	아이에스에
IS에서	아이에스에서
IS와	아이에스와
IT기술이	아이티기술이
IT업체	아이티업체
IT여성기업인협회	아이티여성기업인협회
IT자격증도	아이티자격증도
JP는	제이피는
JP이름의	제이피이름의
JSA영화는	제이에스에이영화는
JTBC	제이티비씨
JTBC가	제이티비씨가
JTBC는	제이티비씨는
JTBC도	제이티비씨도
JTBC에	제이티비씨에
JTBC에서	제이티비씨에서
JTBC와	제이티비씨와
JTBC와의	제이티비씨와의
JTBC의	제이티비씨의
justice라고	저스티스라고
KAL기	칼기
KAL의	칼의
KBL프로농구연맹	케이비엘프로농구연맹
KBO보다	케이비오보다
KBO에	케이비오에
KBS	케이비에스
KDI가	케이디아이가
KDI를	케이디아이를
KFX는	케이에프엑스는
KFX의	케이에프엑스의
KIA	기아
km나	킬로미터나
KOICA	코이카
korea는	코리아는
Kpop	케이팝
Kpop처럼	케이팝처럼
KTG	케이티쥐
KTX의	케이티엑스의
K군	케이군
K리그에	케이리그에
K문학	케이문학
K스포츠	케이스포츠
K씨는	케이씨는
LA	엘에이
LA에서의	엘에이에서의
LA의	엘에이의
LA형	엘에이형
LSD마약으로	엘에스디마약으로
made	메이드
Man으로도	맨으로도
MB	엠비
MBC	엠비씨
MBC가	엠비씨가
MBC를	엠비씨를
MB가	엠비가
MB맨으로	엠비맨으로
MB와의	엠비와의
MB정부	엠비정부
MB측의	엠비측의
MRJ가	엠얼제이가
M처럼	엠처럼
NBA	엔비에이
NGO	엔지오
NHK	엔에이치케이
NHK는	엔에이치케이는
NO	노
NO라고	노라고
NO라는	노라는
N분의	엔분의
N포	엔포
OECD	오이시디
OOO입니다	땡땡땡입니다
OO의원께서는	땡땡의원께서는
OST	오에스티
PALE	페일
PBS가	피비에스가
PBS는	피비에스는
PBS를	피비에스를
PBS뿐만	피비에스뿐만
PBS에	피비에스에
PBS의	피비에스의
PC	피시
PC가	피시가
PC는	피시는
PC들	피시들
PC를	피시를
PC방	피시방
PC에	피시에
PC와	피시와
PC의	피시의
PD는	피디는
Planet은	플래닛은
Power	파워
PRESS	프레스
Prison에	프리즌에
Santa에	산타에
SBS	에스비에스
SF소설로	에스에프소설로
SF영화에	에스에프영화에
SKY	스카이
sky가	스카이가
SNS	에스엔에스
SNS는	에스엔에스는
SNS도	에스엔에스도
SNS를	에스엔에스를
SNS상에	에스엔에스상에
SNS에	에스엔에스에
SNS에는	에스엔에스에는
SNS에서	에스엔에스에서
SNS에서도	에스엔에스에서도
SNS에선	에스엔에스에선
SNS엔	에스엔에스엔
SNS와	에스엔에스와
SNS의	에스엔에스의
S그룹	에스그룹
S자	에스자
S자형	에스자형
S자형으로	에스자형으로
TBC의	티비씨의
Three	뜨리
TV	티브이
TV드라마를	티브이드라마를
TV드라마에도	티브이드라마에도
TV를	티브이를
TV에서	티브이에서
TV토론회	티브이토론회
U2	유투
U2의	유투의
UCLA	유씨엘에이
UFC의	유에프씨의
UFO	유에프오
UFO가	유에프오가
UN	유엔
UN총회연설	유엔총회연설
UPI통신	유피아이통신
USB	유에스비
VIP의	브이아이피의
V는	브이는
V의	브이의
watchdog	와치독
what	왓
WTO	더블유티오
WTO에서	더블유티오에서
XXXXX야	엑스엑스엑스엑스엑스야
XX가	엑스엑스가
XX같이	엑스엑스같이
XX할	엑스엑스할
X이나	엑스이나
X이벤트는	엑스이벤트는
YH무역의	와이에이치무역의
YS	와이에스
YS가	와이에스가
YS는	와이에스는
YS에게	와이에스에게
YS와	와이에스와
YS의	와이에스의
Y양과	와이양과
개X	개엑스
경남FC가	경남에프씨가
교육1번지	교육한번지
교통사고AI가	교통사고에이아이가
국가대표1등만이	국가대표일등만이
군대17년을	군대십칠년을
나오토3국의	나오토삼국의
도쿄1988년	도쿄천구백팔십팔년
말씀LA의	말씀엘에이의
바로 One	바로 원
봄3·1운동	봄삼일운동
빅3	빅쓰리
서울FC	서울에프씨
시사IN	시사인
아Q정전까지	아큐정전까지
아Q정전에	아큐정전에
아Q정전이	아큐정전이
아리랑TV	아리랑티브이
애국3법이란	애국삼법이란
얘기1756년	얘기천칠백오십육년
외무상 1심	외무상 일심
워싱턴DC	워싱턴디시
월드워Z에	월드워지에
월드워Z에는	월드워지에는
의원5년	의원오년
점수8점을	점수팔점을
정권90년대	정권구십년대
제1	제일
제103조에	제백삼조에
제16대	제열여섯대
제1당은	제일당은
제1당이	제일당이
제1호	제일호
제2롯데만	제이롯데만
제2의	제이의
제2조였습니다	제이조였습니다
제2차	제이차
제2차관	제이차관
제35대	제서른다섯대
제3자로서	제삼자로서
제3차	제삼차
제3회	제삼회
제4호	제사호
조선중앙TV의	조선중앙티브이의
주1회	주일회
증상1982년	증상천구백팔십이년
태블릿PC	태블릿피시
태블릿PC는	태블릿피시는
태블릿PC든	태블릿피시든
태블릿PC의	태블릿피시의
